,Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
3100,26195939,The Good Book of Human Nature: An Evolutionary Reading of the Bible,Carel van Schaik,"Schaik, Carel van",Kai Michel,0465074707,9780465074709,0,4.2,Basic Books,Hardcover,480.0,2016.0,2016.0,,2022/12/24,to-read,to-read (#786),to-read,,,,0,0
3101,3690032,The Medici,G.F. Young,"Young, G.F.",,,,0,3.96,The Modern Library,Hardcover,824.0,1930.0,1910.0,,2022/12/23,to-read,to-read (#785),to-read,,,,0,0
3102,53122357,Four Lost Cities: A Secret History of the Urban Age,Annalee Newitz,"Newitz, Annalee",,0393652661,9780393652666,0,3.78,W. W. Norton  Company,Hardcover,320.0,2021.0,2021.0,,2022/12/23,to-read,to-read (#784),to-read,,,,0,0
3103,15856746,"War, Peace, and Human Nature: The Convergence of Evolutionary and Cultural Views",Douglas P. Fry,"Fry, Douglas P.",,0199858993,9780199858996,0,4.61,Oxford University Press,Hardcover,582.0,2013.0,2013.0,,2022/12/23,to-read,to-read (#783),to-read,,,,0,0
3104,88431,On Combat: The Psychology and Physiology of Deadly Conflict in War and in Peace,Dave Grossman,"Grossman, Dave","Loren W. Christensen, Gavin de Becker",0964920514,9780964920514,0,4.29,PPCT Research Publications,Paperback,395.0,2004.0,2004.0,,2022/12/23,to-read,to-read (#782),to-read,,,,0,0
3105,78127,On Killing: The Psychological Cost of Learning to Kill in War and Society,Dave Grossman,"Grossman, Dave",,0316191442,9780316191449,0,4.11,Back Bay Books,Paperback,367.0,2003.0,1995.0,,2022/12/23,to-read,to-read (#781),to-read,,,,0,0
3106,31670587,Patterning Instinct: A Cultural History of Humanity's Search for Meaning,Jeremy Lent,"Lent, Jeremy",Fritjof Capra,1633882934,9781633882935,0,4.26,Prometheus,Hardcover,576.0,2017.0,2017.0,,2022/12/23,to-read,to-read (#780),to-read,,,,0,0
3107,26517610,"Islam: History, Religion, and Politics",Tamara Sonn,"Sonn, Tamara",,1118972317,9781118972311,0,4.1,Wiley-Blackwell,Kindle Edition,224.0,2015.0,2015.0,,2022/12/22,to-read,to-read (#779),to-read,,,,0,0
3108,31951505,The Great Leveler: Violence and the History of Inequality from the Stone Age to the Twenty-First Century (The Princeton Economic History of the Western World),Walter Scheidel,"Scheidel, Walter",,0691165025,9780691165028,0,3.81,Princeton University Press,Hardcover,528.0,2017.0,2017.0,,2022/12/22,to-read,to-read (#778),to-read,,,,0,0
3109,20694737,Planet of the Bugs: Evolution and the Rise of Insects,Scott Richard Shaw,"Shaw, Scott Richard",,022616361X,9780226163611,0,4.15,University of Chicago Press,Hardcover,256.0,2014.0,2014.0,,2022/12/21,to-read,to-read (#777),to-read,,,,0,0
3110,20701881,Earth's Deep History: How It Was Discovered and Why It Matters,Martin J.S. Rudwick,"Rudwick, Martin J.S.",,022620393X,9780226203935,0,3.88,University of Chicago Press,Hardcover,392.0,2014.0,2014.0,,2022/12/21,to-read,to-read (#776),to-read,,,,0,0
3111,168702,"The Dictators: Hitler's Germany, Stalin's Russia",Richard Overy,"Overy, Richard",,0393327973,9780393327977,0,4.22,W. W. Norton & Company,Paperback,922.0,2006.0,2004.0,,2022/12/21,to-read,to-read (#775),to-read,,,,0,0
3112,25135194,"Prisoners of Geography: Ten Maps That Tell You Everything You Need to Know About Global Politics (Politics of Place, #1)",Tim  Marshall,"Marshall, Tim",,1783961414,9781783961412,0,4.19,Elliott & Thompson,Hardcover,256.0,2015.0,2015.0,,2022/12/21,to-read,to-read (#774),to-read,,,,0,0
3113,56696339,The Power of Geography: Ten Maps That Reveal the Future of Our World,Tim  Marshall,"Marshall, Tim",,1783965371,9781783965373,0,4.19,Elliott & Thompson Limited,Hardcover,360.0,2021.0,2021.0,,2022/12/21,to-read,to-read (#773),to-read,,,,0,0
3114,34101725,God: A Human History,Reza Aslan,"Aslan, Reza",,0553394738,9780553394733,5,4.02,Random House Publishing Group,Kindle Edition,280.0,2017.0,2017.0,2022/12/20,2022/12/16,,,read,,,,1,0
3115,1407597,"A History of Zoroastrianism, The Early Period",Mary Boyce,"Boyce, Mary",,9004104747,9789004104747,0,4.02,Brill,Leather Bound,350.0,1996.0,1995.0,,2022/12/20,to-read,to-read (#772),to-read,,,,0,0
3116,26114505,Age of Discovery: Navigating the Risks and Rewards of Our New Renaissance,Ian Goldin,"Goldin, Ian",Chris Kutarna,1250085098,9781250085092,0,3.98,St. Martin's Press,Hardcover,320.0,2016.0,2016.0,,2022/12/20,to-read,to-read (#771),to-read,,,,0,0
3117,15954429,"In and Out of Each Other's Bodies: Theory of Mind, Evolution, Truth, and the Nature of the Social",Maurice Bloch,"Bloch, Maurice",,1612051022,9781612051024,0,3.75,Routledge,Paperback,172.0,2013.0,2011.0,,2022/12/19,to-read,to-read (#770),to-read,,,,0,0
3118,7752931,Conceiving God: The Cognitive Origin and Evolution of Religion,James David Lewis-Williams,"Lewis-Williams, James David",,050005164X,9780500051641,0,3.91,Thames & Hudson,Hardcover,320.0,2010.0,2010.0,,2022/12/19,to-read,to-read (#769),to-read,,,,0,0
3119,43521776,"Transcendence: How Humans Evolved through Fire, Language, Beauty, and Time",Gaia Vince,"Vince, Gaia",,0465094902,9780465094905,4,3.97,Basic Books,Hardcover,352.0,2020.0,2020.0,2022/12/19,2022/12/16,,,read,,,,1,0
3120,29502683,Fifth Beginning: What Six Million Years of Human History Can Tell Us about Our Future,Robert L.  Kelly,"Kelly, Robert L.",,0520293126,9780520293120,0,3.97,University of California Press,Hardcover,162.0,2016.0,,,2022/12/18,to-read,to-read (#768),to-read,,,,0,0
3121,22859673,Mixed Messages: Cultural and Genetic Inheritance in the Constitution of Human Society,Robert Paul,"Paul, Robert",,022624086X,9780226240862,0,3.5,University of Chicago Press,Paperback,368.0,2015.0,2015.0,,2022/12/18,to-read,to-read (#767),to-read,,,,0,0
3122,25838474,God Is Watching You: How the Fear of God Makes Us Human,Dominic Johnson,"Johnson, Dominic",,0199895635,9780199895632,0,3.91,Oxford University Press,Hardcover,304.0,2015.0,2015.0,,2022/12/18,to-read,to-read (#766),to-read,,,,0,0
3123,37426323,Die Geschichte der Welt,Ewald Frie,"Frie, Ewald",Sophia Martineck,3406711693,9783406711695,0,4.03,C.H. Beck,Hardcover,464.0,2017.0,2017.0,,2022/12/18,to-read,to-read (#765),to-read,,,,0,0
3124,781182,Barbarians at the Gate: The Fall of RJR Nabisco,Bryan Burrough,"Burrough, Bryan",John Helyar,0060536357,9780060536350,0,4.29,HarperBus,Paperback,592.0,2005.0,1989.0,,2022/12/18,to-read,to-read (#764),to-read,,,,0,0
3125,17567563,El jardín de Epicuro,Anatole France,"France, Anatole",,,,0,4.03,Los libros del mirasol,Unknown Binding,150.0,1960.0,1894.0,,2022/12/18,to-read,to-read (#762),to-read,,,,0,0
3126,25523150,The Life of Lines,Tim Ingold,"Ingold, Tim",,131753932X,9781317539322,0,4.17,Routledge,Kindle Edition,186.0,2015.0,2015.0,,2022/12/18,to-read,to-read (#761),to-read,,,,0,0
3127,33297,The Naked Ape,Desmond Morris,"Morris, Desmond",,0385334303,9780385334303,0,3.93,Delta,Paperback,256.0,1999.0,1967.0,,2022/12/18,to-read,to-read (#760),to-read,,,,0,0
3128,41716904,"Upheaval: Turning Points for Nations in Crisis (Civilizations Rise and Fall, #3)",Jared Diamond,"Diamond, Jared",,,,0,3.9,"Little, Brown and Company",Hardcover,512.0,2019.0,2019.0,,2022/12/18,to-read,to-read (#759),to-read,,,,0,0
3129,354421,Sync: The Emerging Science of Spontaneous Order,Steven H. Strogatz,"Strogatz, Steven H.",,0786868449,9780786868445,0,4.07,Hachette Books,Hardcover,352.0,2003.0,2003.0,,2022/12/18,to-read,to-read (#758),to-read,,,,0,0
3130,53061859,Ocean Anatomy: The Curious Parts  and Pieces of the World under the Sea,Julia Rothman,"Rothman, Julia",John Niekrasz,1635861608,9781635861600,0,4.57,"Storey Publishing, LLC",Paperback,208.0,2020.0,2020.0,,2022/12/18,to-read,to-read (#757),to-read,,,,0,0
3131,50778832,"What It's Like to Be a Bird: From Flying to Nesting, Eating to Singing—What Birds Are Doing, and Why",David Allen Sibley,"Sibley, David Allen",,0307957896,9780307957894,0,4.42,Knopf Publishing Group,Hardcover,240.0,2020.0,2020.0,,2022/12/17,to-read,to-read (#756),to-read,,,,0,0
3132,44153387,"The Feather Thief: Beauty, Obsession, and the Natural History Heist of the Century",Kirk Wallace Johnson,"Johnson, Kirk Wallace",,1101981636,9781101981634,0,4.01,Penguin Books,Paperback,336.0,2019.0,2018.0,,2022/12/17,to-read,to-read (#755),to-read,,,,0,0
3133,18079702,The Thing with Feathers: The Surprising Lives of Birds and What They Reveal About Being Human,Noah Strycker,"Strycker, Noah",,1594486352,9781594486357,0,4.14,Riverhead Books,Hardcover,304.0,2014.0,2014.0,,2022/12/17,to-read,to-read (#754),to-read,,,,0,0
3134,46017896,"Das blaue Wunder: Warum das Meer leuchtet, Fische singen und unsere Beziehung zum Meer so besonders ist",Frauke Bagusche,"Bagusche, Frauke",,345328111X,9783453281110,0,4.26,Ludwig Verlag,Hardcover,312.0,2019.0,2019.0,,2022/12/17,to-read,to-read (#753),to-read,,,,0,0
3135,17718835,How Forests Think: Toward an Anthropology Beyond the Human,Eduardo Kohn,"Kohn, Eduardo",,0520276116,9780520276116,0,3.86,University of California Press,Paperback,267.0,2013.0,2013.0,,2022/12/17,to-read,to-read (#752),to-read,,,,0,0
3136,21453464,"Der Wald - ein Nachruf: Wie der Wald funktioniert, warum wir ihn brauchen und wie wir ihn retten können - ein Förster erklärt",Peter Wohlleben,"Wohlleben, Peter",,3641091276,9783641091279,0,3.98,Ludwig Buchverlag,Kindle Edition,257.0,2013.0,2013.0,,2022/12/17,to-read,to-read (#749),to-read,,,,0,0
3137,45023869,Can You Hear the Trees Talking?: Discovering the Hidden Life of the Forest,Peter Wohlleben,"Wohlleben, Peter",,1771644346,9781771644341,0,4.43,Greystone Kids,Hardcover,84.0,2019.0,2017.0,,2022/12/17,to-read,to-read (#748),to-read,,,,0,0
3138,40656946,"The Secret Wisdom of Nature: Trees, Animals, and the Extraordinary Balance of All Living Things ― Stories from Science and Observation",Peter Wohlleben,"Wohlleben, Peter",,1771643889,9781771643887,0,4.05,Greystone Books,Hardcover,272.0,2019.0,2017.0,,2022/12/17,to-read,to-read (#747),to-read,,,,0,0
3139,34928247,A Taste for the Beautiful: The Evolution of Attraction,Michael J. Ryan,"Ryan, Michael J.",,0691167265,9780691167268,0,3.92,Princeton University Press,Hardcover,208.0,2018.0,,,2022/12/17,to-read,to-read (#746),to-read,,,,0,0
3140,31624963,The Evolution of Beauty: How Darwin's Forgotten Theory of Mate Choice Shapes the Animal World—And Us,Richard O. Prum,"Prum, Richard O.",,0385537212,9780385537216,0,4.06,Doubleday,Hardcover,448.0,2017.0,2017.0,,2022/12/17,to-read,to-read (#745),to-read,,,,0,0
3141,50124402,The Upswing: How America Came Together a Century Ago and How We Can Do It Again,Robert D. Putnam,"Putnam, Robert D.",Shaylyn Romney Garrett,198212914X,9781982129149,0,3.94,Simon  Schuster,Hardcover,464.0,2020.0,2020.0,,2022/12/17,to-read,to-read (#744),to-read,,,,0,0
3142,29429295,How to Survive a Plague: The Inside Story of How Citizens and Science Tamed AIDS,David France,"France, David",,0307700631,9780307700636,0,4.44,Knopf,Hardcover,640.0,2016.0,2016.0,,2022/12/17,to-read,to-read (#743),to-read,,,,0,0
3143,26530355,Misbehaving: The Making of Behavioral Economics,Richard H. Thaler,"Thaler, Richard H.",,039335279X,9780393352795,0,4.16,W. W. Norton & Company,Paperback,358.0,2016.0,2016.0,,2022/12/17,to-read,to-read (#742),to-read,,,,0,0
3144,30037809,A Mind Awake: An Anthology of C. S. Lewis,C.S. Lewis,"Lewis, C.S.",,006264355X,9780062643551,0,4.32,HarperOne,Paperback,320.0,2017.0,1968.0,,2022/12/17,to-read,to-read (#741),to-read,,,,0,0
3145,36300732,The Reading Life: The Joy of Seeing New Worlds Through Others' Eyes,C.S. Lewis,"Lewis, C.S.",,0062849980,9780062849984,0,4.09,HarperOne,ebook,192.0,2019.0,2019.0,,2022/12/17,to-read,to-read (#740),to-read,,,,0,0
3146,2206940,Introduction to Physical Oceanography,John A. Knauss,"Knauss, John A.",,1577664299,9781577664291,0,3.92,Waveland Pr Inc,Hardcover,309.0,2005.0,1978.0,,2022/12/17,to-read,to-read (#739),to-read,,,,0,0
3147,620555,Constructing a Language: A Usage-Based Theory of Language Acquisition,Michael Tomasello,"Tomasello, Michael",,0674017641,9780674017641,0,4.26,Harvard University Press,Paperback,408.0,2005.0,2003.0,,2022/12/16,to-read,to-read (#738),to-read,,,,0,0
3148,17804361,A Natural History of Human Thinking,Michael Tomasello,"Tomasello, Michael",,0674724771,9780674724778,0,3.99,Harvard University Press,Hardcover,192.0,2014.0,2014.0,,2022/12/16,to-read,to-read (#737),to-read,,,,0,0
3149,25949164,A Natural History of Human Morality,Michael Tomasello,"Tomasello, Michael",,0674088646,9780674088641,0,4.14,Harvard University Press,Hardcover,180.0,2016.0,2016.0,,2022/12/16,to-read,to-read (#736),to-read,,,,0,0
3150,73199,"Niche Construction: The Neglected Process in Evolution (Monographs in Population Biology, 37)",F. John Odling-Smee,"Odling-Smee, F. John","Kevin N. Lala, Marcus W. Feldman",0691044376,9780691044378,0,4.33,Princeton University Press,Paperback,488.0,2003.0,2003.0,,2022/12/16,to-read,to-read (#735),to-read,,,,0,0
3151,26262498,"Organism and Environment: Ecological Development, Niche Construction, and Adaptation",Sonia E Sultan,"Sultan, Sonia E",,0199587078,9780199587070,0,5.0,Oxford University Press,Hardcover,236.0,2015.0,2015.0,,2022/12/16,to-read,to-read (#734),to-read,,,,0,0
3152,23791453,Die Kinder des Prometheus: Eine Geschichte der Menschheit vor der Erfindung der Schrift (German Edition),Hermann Parzinger,"Parzinger, Hermann",,3406668151,9783406668159,0,3.87,Beck C. H.,Kindle Edition,848.0,2015.0,2014.0,,2022/12/16,to-read,to-read (#733),to-read,,,,0,0
3153,34927510,"Secularism: Politics, Religion, and Freedom",Andrew Copson,"Copson, Andrew",,0198809131,9780198809135,0,3.9,Oxford University Press,Hardcover,176.0,2017.0,,,2022/12/16,to-read,to-read (#732),to-read,,,,0,0
3154,50642602,"The Little Book of Humanism: Universal Lessons on Finding Purpose, Meaning and Joy",Andrew Copson,"Copson, Andrew",Alice Roberts,0349425469,9780349425467,0,4.09,Piatkus,Hardcover,256.0,2020.0,2020.0,,2022/12/16,to-read,to-read (#731),to-read,,,,0,0
3155,6464596,The Incredible Human Journey,Alice Roberts,"Roberts, Alice",,0747598398,9780747598398,0,4.15,Bloomsbury Publishing,Hardcover,1000.0,2009.0,2009.0,,2022/12/16,to-read,to-read (#730),to-read,,,,0,0
3156,40411388,"No God but God: The Origins, Evolution and Future of Islam",Reza Aslan,"Aslan, Reza",,,,0,4.12,Random House,Kindle Edition,384.0,2011.0,2005.0,,2022/12/16,to-read,to-read (#729),to-read,,,,0,0
3157,34381371,A Wilder Time: Notes from a Geologist at the Edge of the Greenland Ice,William E. Glassley,"Glassley, William E.",,1942658346,9781942658344,0,3.94,Bellevue Literary Press,Paperback,224.0,2018.0,2018.0,,2022/12/16,to-read,to-read (#728),to-read,,,,0,0
3158,36286363,The Story of the Earth in 25 Rocks: Tales of Important Geological Puzzles and the People Who Solved Them,Donald R. Prothero,"Prothero, Donald R.",,0231544278,9780231544276,0,4.21,Columbia U. Press,Kindle Edition,368.0,2018.0,2017.0,,2022/12/16,to-read,to-read (#727),to-read,,,,0,0
